SurveyID,Household_Size,Annual_Income_INR,State,District,Children_in_Household,Education_Level,Employment_Status,Primary_Occupation,Has_Electricity,Water_Source,Design_Weight
1001,5,96815.0,Maharashtra,Osmanabad,2,Bachelors,Employed,Laborer,Yes,Tanker,0.62
1002,5,783040.0,Maharashtra,Pune,2,Masters,Student,Not Applicable,Yes,Tap,2.3
1003,7,443233.0,Maharashtra,Nashik,2,Bachelors,Employed,Farmer,Yes,Hand Pump,
1004,5,232983.0,Maharashtra,Kolhapur,1,Bachelors,Employed,Farmer,Yes,Hand Pump,2.8
1005,4,1092770.0,Maharashtra,Pune,2,Masters,Employed,Government Job,Yes,Tap,1.81
1006,4,361147.0,Maharashtra,Mumbai City,1,Masters,Employed,Government Job,Yes,Tap,2.98
1007,6,746683.0,Maharashtra,Pune,4,High School,Retired,Not Applicable,Yes,Tap,2.17
1008,5,492811.0,Maharashtra,Nagpur,4,High School,Employed,Farmer,Yes,Hand Pump,2.22
1009,6,588662.0,Maharashtra,Mumbai Suburban,3,High School,Employed,Business Owner,Yes,Tap,0.72
1010,3,,Maharashtra,Thane,2,High School,Employed,Government Job,Yes,Tap,2.12
1011,4,686651.0,Maharashtra,Pune,0,Masters,Employed,Business Owner,Yes,Tap,1.94
1012,3,1299296.0,Maharashtra,Mumbai Suburban,0,Bachelors,Homemaker,Not Applicable,Yes,Tap,1.85
1013,6,359896.0,Maharashtra,Yavatmal,3,Bachelors,Student,Not Applicable,Yes,Tap,0.79
1014,3,530968.0,Maharashtra,Mumbai City,0,Bachelors,Student,Not Applicable,Yes,Tap,2.97
1015,1,132939.0,Maharashtra,Dhule,0,Middle School,Employed,Farmer,Yes,Community Tap,1.37
1016,6,566707.0,Maharashtra,Nashik,3,High School,Unemployed,Not Applicable,Yes,Well,2.63
1017,3,555979.0,Maharashtra,Nanded,0,Bachelors,Employed,Government Job,Yes,Hand Pump,2.38
1018,1,625332.0,Maharashtra,Raigad,0,Middle School,Employed,Business Owner,Yes,Tanker,1.01
1019,5,44725.0,Maharashtra,Chandrapur,3,,Homemaker,Not Applicable,Yes,Hand Pump,1.0
1020,5,60264.0,Maharashtra,Jalgaon,0,Middle School,Retired,Not Applicable,Yes,Tanker,1.8
1021,7,136417.0,Maharashtra,Solapur,5,High School,Employed,Laborer,Yes,Hand Pump,2.14
1022,5,,Maharashtra,Nagpur,4,High School,Employed,Farmer,Yes,Tap,2.46
1023,6,932234.0,Maharashtra,Pune,3,,Homemaker,Not Applicable,Yes,Tap,0.9
1024,2,220125.0,Maharashtra,Nashik,1,Middle School,Employed,Laborer,Sometimes,Hand Pump,1.24
1025,4,557957.0,Maharashtra,Nashik,3,Bachelors,Student,Not Applicable,Yes,Tanker,1.9
1026,4,763892.0,Maharashtra,Mumbai City,0,Bachelors,Employed,Farmer,Yes,Tap,2.71
1027,4,662618.0,Maharashtra,Mumbai City,0,High School,Employed,Farmer,Yes,Tap,2.76
1028,5,392538.0,Maharashtra,Aurangabad,1,Bachelors,Student,Not Applicable,Yes,Tanker,2.63
1029,9,3027837.0,Maharashtra,Mumbai Suburban,1,Masters,Employed,Government Job,Yes,Tap,0.92
1030,5,149968.0,Maharashtra,Aurangabad,3,High School,Unemployed,Not Applicable,No,Hand Pump,2.84
